_id,title,roomName,gender,roomType,py,deposit,rentFee,region,brandType,roomOption,url,imgUrl
65dc3805fbdcd7489dc7823b,하품 SKY,SKY,공용,1인실,65.6,50000000,450000,교대역,하품,"천장형 냉난방 에어컨\n바닥 난방 시스템\n원목 수납 침대(SS), 매트리스\n오픈 수납장, 신발장\n디지털 도어락\n책상, 의자\n블라인드",https://www.hapoom.co/gyodae-co-living,"https://static.wixstatic.com/media/acb830_03ba857a5fc34aae887d0f03979bc6af~mv2.jpg/v1/fill/w_440,h_257,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/acb830_03ba857a5fc34aae887d0f03979bc6af~mv2.jpg"
65dc3805fbdcd7489dc7823c,하품 ROUND,ROUND,공용,1인실,26,30000000,780000,교대역,하품,수납형 싱글 침대\n매트리스 \n책상\n의자\n옷장\n수납장\n바닥 난방 시스템\n냉/난방기\n환풍기\n메모보드\n스탠드조명\n블라인드,https://www.hapoom.co/gyodae-co-living,https://mblogthumb-phinf.pstatic.net/MjAyMTExMjNfMjUz/MDAxNjM3NjU5MjM2Mjk1.xunzNvjMLOlm6XvLHRxQgUsaMtKtx8toJmvd8LT2vxMg.tI0el3cEubw9_St0ytfxcKXPPQZvpSiEIKyV569GjsMg.JPEG.ha--poom/O_W1A9186.jpg?type=w800
65dc3805fbdcd7489dc7823d,하품 STANDARD,STANDARD,공용,1인실,29.3,10000000,720000,교대역,하품,천장형 냉난방 에어컨\n바닥 난방 시스템\n원목 수납 침대(SS)\n매트리스\n오픈 수납장\n신발장\n디지털 도어락\n책상\n의자\n블라인드,https://www.hapoom.co/gyodae-co-living,"https://static.wixstatic.com/media/acb830_5e09b04f5630418db640dc54c68268eb~mv2.jpg/v1/fill/w_440,h_257,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/acb830_5e09b04f5630418db640dc54c68268eb~mv2.jpg"
65dc3805fbdcd7489dc7823e,커먼타운 역삼,3F Frontier Life,공용,1인실,26,5000000,1500000,역삼역,커먼타운,"Wi-Fi \n월패드 \n전동 블라인드 \n스마트 도어락 \n개인 화장실 \n키친(인덕션, 냉장고 포함) \n매트리스 및 베딩\n건조 겸용 세탁기\n에어컨 \n벤치형 소파 및 테이블 \n스탠드형 화장대",,
65dc3805fbdcd7489dc7823f,커먼타운 역삼,4F Nomad Life,공용,1인실,26,5000000,1500000,역삼역,커먼타운,"Wi-Fi \n월패드 \n전동 블라인드 \n스마트 도어락 \n개인 화장실 \n키친(인덕션, 냉장고 포함) \n매트리스 및 베딩\n건조 겸용 세탁기\n에어컨 \n테이블 일체형 침대 \n스탠드형 화장대",,
65dc3805fbdcd7489dc78240,커먼타운 역삼,5F Cat Life,공용,1인실,29.3,5000000,1450000,역삼역,커먼타운,"Wi-Fi \n월패드 \n전동 블라인드\n스마트 도어락\n개인 화장실\n키친(인덕션, 냉장고 포함)\n매트리스 및 베딩\n건조 겸용 세탁기\n에어컨\n캣워커 겸용 선반\n책상 및 의자",,
65dc3805fbdcd7489dc78241,커먼타운 역삼,6F Terrace Life,공용,1인실,29.3,5000000,1450000,역삼역,커먼타운,"Wi-Fi \n월패드 \n전동 블라인드\n스마트 도어락\n개인 화장실\n키친(인덕션, 냉장고 포함)\n매트리스 및 베딩\n건조 겸용 세탁기\n에어컨\n모듈형 타공판\n선반",,
65dc3805fbdcd7489dc78242,커먼타운 역삼,7F Minimal Life,공용,1인실,29.3,5000000,1450000,역삼역,커먼타운,"Wi-Fi \n월패드 \n전동 블라인드\n스마트 도어락\n개인 화장실\n키친(인덕션, 냉장고 포함)\n매트리스 및 베딩\n건조 겸용 세탁기\n에어컨\n욕조와 욕조커버(테이블 겸용)\n좌식 테이블",,
65dc3805fbdcd7489dc78243,커먼타운 역삼,8F Penthouse Life,공용,1인실,65.6,10000000,1450000,역삼역,커먼타운,"Wi-Fi \n월패드 \n전동 블라인드\n스마트 도어락\n개인 화장실\n키친(인덕션, 냉장고 포함)\n매트리스 및 베딩\n건조 겸용 세탁기\n에어컨\n소파 및 소파 테이블\n바데스크 및 의자",,
65dc3805fbdcd7489dc78244,커먼타운 신도림,Type A,공용,1인실,26,1500000,960000,신도림역,커먼타운,"빌트인 옷장, 수납장, 신발장\n주방(인덕션, 전기 후드, 음식물 건조 기능 드레인)\n빌트인 냉장고 (273L)\n슈퍼 싱글 사이즈 매트리스 및 침대 프레임\n시스템 에어컨\n빌트인 데스크 및 의자\n공기 순환기\n에어컨\n드럼세탁기 (9kg)\n샤워부스 포함 \n건식 화장실\n가스 보일러(개별 난방용)\n커텐\nKT 인터넷\n스마트 디지털 도어락",,
