,Unnamed: 0,_id,title,roomName,gender,roomType,py,deposit,rentFee,region,brandType,roomOption,url,imgUrl,station,station_region
0,0,65d83d3d586d871d4e26c4d5,이태원431,Room A,2,0,5.0,3000000,620000,녹사평역,0,WIFI 에어컨 세탁기 냉장고 ,https://www.woozoo.kr/houses/IT431,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,녹사평,용산동4가
1,1,65d83d3f586d871d4e26c4d6,이태원431,Room B,2,0,7.0,3000000,670000,녹사평역,0,WIFI 에어컨 세탁기 냉장고 ,https://www.woozoo.kr/houses/IT431,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,녹사평,용산동4가
2,2,65d83d41586d871d4e26c4d7,이태원431,Room C,2,1,16.0,3000000,650000,녹사평역,0,WIFI 에어컨 세탁기 냉장고 ,https://www.woozoo.kr/houses/IT431,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,녹사평,용산동4가
3,3,65d83d43586d871d4e26c4d8,이태원431,Room D,2,0,6.0,3000000,670000,녹사평역,0,WIFI 에어컨 세탁기 냉장고 ,https://www.woozoo.kr/houses/IT431,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,녹사평,용산동4가
4,4,65d83d46586d871d4e26c4d9,이태원431,Room E,2,0,9.0,3000000,770000,녹사평역,0,WIFI 에어컨 세탁기 냉장고 ,https://www.woozoo.kr/houses/IT431,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,녹사평,용산동4가
5,5,65d83d48586d871d4e26c4da,이태원431,Room F,2,0,13.0,3000000,780000,녹사평역,0,WIFI 에어컨 세탁기 냉장고 ,https://www.woozoo.kr/houses/IT431,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,녹사평,용산동4가
6,6,65d83d53586d871d4e26c4db,성수955,Room A,2,0,7.74,3000000,850000,성수역,0,WIFI 에어컨 세탁기 냉장고 ,https://www.woozoo.kr/houses/SS955,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,성수,성수동2가
7,7,65d83d55586d871d4e26c4dc,성수955,Room B,2,0,16.1,3000000,1000000,성수역,0,WIFI 에어컨 세탁기 냉장고 ,https://www.woozoo.kr/houses/SS955,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,성수,성수동2가
8,8,65d83d57586d871d4e26c4dd,성수955,Room C,2,0,10.55,3000000,850000,성수역,0,WIFI 에어컨 세탁기 냉장고 ,https://www.woozoo.kr/houses/SS955,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,성수,성수동2가
9,9,65d83d59586d871d4e26c4de,성수955,Room D,2,0,7.77,3000000,850000,성수역,0,WIFI 에어컨 세탁기 냉장고 ,https://www.woozoo.kr/houses/SS955,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,성수,성수동2가
