,_id,title,roomName,gender,roomType,py,deposit,rentFee,region,brandType,roomOption,url,imgUrl,station,station_region
0,65dc3805fbdcd7489dc7823b,하품 SKY,SKY,공용,1인실,65.6,50000000,450000,교대역,하품,"천장형 냉난방 에어컨\n바닥 난방 시스템\n원목 수납 침대(SS), 매트리스\n오픈 수납장, 신발장\n디지털 도어락\n책상, 의자\n블라인드",https://www.hapoom.co/gyodae-co-living,"https://static.wixstatic.com/media/acb830_03ba857a5fc34aae887d0f03979bc6af~mv2.jpg/v1/fill/w_440,h_257,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/acb830_03ba857a5fc34aae887d0f03979bc6af~mv2.jpg",교대,서초동
1,65dc3805fbdcd7489dc7823c,하품 ROUND,ROUND,공용,1인실,26.0,30000000,780000,교대역,하품,수납형 싱글 침대\n매트리스 \n책상\n의자\n옷장\n수납장\n바닥 난방 시스템\n냉/난방기\n환풍기\n메모보드\n스탠드조명\n블라인드,https://www.hapoom.co/gyodae-co-living,https://mblogthumb-phinf.pstatic.net/MjAyMTExMjNfMjUz/MDAxNjM3NjU5MjM2Mjk1.xunzNvjMLOlm6XvLHRxQgUsaMtKtx8toJmvd8LT2vxMg.tI0el3cEubw9_St0ytfxcKXPPQZvpSiEIKyV569GjsMg.JPEG.ha--poom/O_W1A9186.jpg?type=w800,교대,서초동
2,65dc3805fbdcd7489dc7823d,하품 STANDARD,STANDARD,공용,1인실,29.3,10000000,720000,교대역,하품,천장형 냉난방 에어컨\n바닥 난방 시스템\n원목 수납 침대(SS)\n매트리스\n오픈 수납장\n신발장\n디지털 도어락\n책상\n의자\n블라인드,https://www.hapoom.co/gyodae-co-living,"https://static.wixstatic.com/media/acb830_5e09b04f5630418db640dc54c68268eb~mv2.jpg/v1/fill/w_440,h_257,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/acb830_5e09b04f5630418db640dc54c68268eb~mv2.jpg",교대,서초동
15,65dd42121233c49e19f9e72f,디어스 판교,주니어 이그제큐티브,공용,1인실,23.95,5000000,1080000,판교역,디어스,"세탁기, 에어컨, 냉장고, 쿡탑, 전자레인지, 커피포트, 커튼/블라인드",https://dears.kr/ko,https://dears.kr/_next/image?url=%2Fimages%2Fsku%2Fdears-pangyo-junior-executive.webp&w=3840&q=100,판교,백현동
16,65dd42121233c49e19f9e730,디어스 판교,주니어 이그제큐티브 펫,공용,1인실,23.95,5000000,1080000,판교역,디어스,"슬라이딩 문, 월 패널, 반려동물 전용 샤워헤드/후크, 세탁기, 에어컨, 냉장고, 쿡탑, 전자레인지, 커피포트, 커튼/블라인드",https://dears.kr/ko,https://dears.kr/_next/image?url=%2Fimages%2Fsku%2Fdears-pangyo-junior-executive-pet.webp&w=3840&q=100,판교,백현동
17,65dd42121233c49e19f9e731,디어스 판교,수페리어 이그제큐티브,공용,1인실,23.95,5000000,1110000,판교역,디어스,"침대, 세탁기, 에어컨, 냉장고, 쿡탑, 전자레인지, 커피포트, 커튼/블라인드",https://dears.kr/ko,https://dears.kr/_next/image?url=%2Fimages%2Fsku%2Fdears-pangyo-superior-executive.webp&w=3840&q=100,판교,백현동
18,65dd42121233c49e19f9e732,디어스 판교,프리미어 이그제큐티브,공용,1인실,23.95,5000000,1210000,판교역,디어스,"침대, 스마트TV, 세탁기, 에어컨, 냉장고, 쿡탑, 전자레인지, 커피포트, 커튼/블라인드",https://dears.kr/ko,https://dears.kr/_next/image?url=%2Fimages%2Fsku%2Fdears-pangyo-premier-executive-1.webp&w=3840&q=100,판교,백현동
19,65dd42121233c49e19f9e733,디어스 판교,프리미어 이그제큐티브 로프트,공용,1인실,23.95,5000000,1300000,판교역,디어스,"침대, 스마트TV, 세탁기, 에어컨, 냉장고, 쿡탑, 전자레인지, 커피포트, 커튼/블라인드",https://dears.kr/ko,https://dears.kr/_next/image?url=%2Fimages%2Fsku%2Fdears-pangyo-premier-executive-loft-duplex-1.webp&w=3840&q=100,판교,백현동
20,65dd42121233c49e19f9e734,디어스 판교,1-베드룸 스위트,공용,그 외,45.83,5000000,2050000,판교역,디어스,"침대, 스마트TV, 소파, 커피 테이블, 세탁기, 에어컨, 냉장고, 쿡탑, 전자레인지, 커피포트, 커튼/블라인드",https://dears.kr/ko,https://dears.kr/_next/image?url=%2Fimages%2Fsku%2Fdears-pangyo-1-bedroom-1.webp&w=3840&q=100,판교,백현동
21,65dd42121233c49e19f9e735,디어스 판교,2-베드룸 스위트,공용,그 외,50.47,5000000,2200000,판교역,디어스,"침대2, 스마트TV, 소파 세탁기, 에어컨, 냉장고, 쿡탑, 전자레인지, 커피포트, 커튼/블라인드",https://dears.kr/ko,https://dears.kr/_next/image?url=%2Fimages%2Fsku%2Fdears-pangyo-2-bedroom-1.webp&w=3840&q=100,판교,백현동
