,_id,title,roomName,gender,roomType,py,deposit,rentFee,region,brandType,roomOption,url,imgUrl
0,65dd9ebfd872d6f0c7de317f,월세 125/125,월세 125/125,0,1,34.0,1250000,1250000,서초동,0,벽걸이형 침대 옷장 식탁 쇼파 신발장 냉장고 세탁기 샤워부스 싱크대 가스레인지 전자레인지 TV 붙박이장 화재경보기 경비원 비디오폰 인터폰 CCTV 사설경비 현관보안 방범창,https://www.dabangapp.com/room/65cae337a0b5f81ef36465c1,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
3,65dd9ecad872d6f0c7de3182,월세 300/250,월세 300/250,0,1,42.1,3000000,2500000,서초동,0,천장형 침대 책상 옷장 식탁 쇼파 신발장 냉장고 세탁기 샤워부스 비데 싱크대 인덕션 전자레인지 TV 붙박이장 화재경보기 무인택배함 경비원 비디오폰 인터폰 카드키 CCTV 사설경비 현관보안,https://www.dabangapp.com/room/65d567170c12f413e6ed0de2,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
4,65dd9ecdd872d6f0c7de3183,월세 1000/65,월세 1000/65,0,0,19.8,10000000,650000,서초동,0,벽걸이형 옷장 신발장 냉장고 세탁기 샤워부스 싱크대 인덕션 붙박이장 화재경보기 인터폰 CCTV 현관보안 방범창,https://www.dabangapp.com/room/65dd90c0050035098cebcbe5,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
5,65dd9ed1d872d6f0c7de3184,월세 1000/65,월세 1000/65,0,1,19.8,1400000,1400000,서초동,0,벽걸이형 침대 책상 옷장 식탁 쇼파 신발장 냉장고 세탁기 샤워부스 싱크대 가스레인지 전자레인지 TV 붙박이장 화재경보기 경비원 비디오폰 인터폰 CCTV 현관보안 방범창,https://www.dabangapp.com/room/65dd859295594322fa42b564,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
6,65dd9ed5d872d6f0c7de3185,월세 1000/65,월세 1000/65,0,0,19.8,10000000,900000,서초동,0,벽걸이형 옷장 신발장 냉장고 세탁기 싱크대 인덕션 붙박이장 마당 인터폰,https://www.dabangapp.com/room/65d7239af7beea16ffc432f4,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
7,65dd9ed8d872d6f0c7de3186,월세 2000/80,월세 2000/80,0,1,39.66,20000000,800000,서초동,0,벽걸이형 신발장 냉장고 가스레인지 현관보안,https://www.dabangapp.com/room/65c312641045a9426345141c,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
8,65dd9edcd872d6f0c7de3187,월세 200/200,월세 200/200,0,1,49.58,2000000,2000000,서초동,0,스탠드형 침대 책상 옷장 식탁 쇼파 신발장 냉장고 세탁기 싱크대 가스레인지 전자레인지 TV 붙박이장 화재경보기 비디오폰 CCTV 현관보안,https://www.dabangapp.com/room/65d09485bd20ae1e37482941,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
9,65dd9ee0d872d6f0c7de3188,월세 3000/200,월세 3000/200,0,1,42.1,30000000,2000000,서초동,0,천장형 침대 옷장 식탁 신발장 냉장고 세탁기 샤워부스 욕조 싱크대 인덕션 전자레인지 화재경보기 경비원 비디오폰 인터폰 카드키 CCTV 사설경비 현관보안 방범창,https://www.dabangapp.com/room/659baccb783be418b80aaa71,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
11,65dd9ee7d872d6f0c7de318a,월세 2000/170,월세 2000/170,0,1,23.85,20000000,1700000,서초동,0,천장형 신발장 냉장고 세탁기 샤워부스 비데 싱크대 인덕션 가스오븐 붙박이장 비디오폰 카드키 현관보안,https://www.dabangapp.com/room/65d56e2bcc428e7b0b86dd68,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
12,65dd9eebd872d6f0c7de318b,월세 2000/85,월세 2000/85,0,0,43.41,20000000,850000,서초동,0,벽걸이형 신발장 냉장고 세탁기 싱크대 인덕션 붙박이장 마당 인터폰,https://www.dabangapp.com/room/65d722f86cc2cb0f0ed416b0,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
13,65dd9eeed872d6f0c7de318c,월세 2000/180,월세 2000/180,0,1,42.1,20000000,1800000,서초동,0, ,https://www.dabangapp.com/room/65c4616002590762c1148f30,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
14,65dd9ef2d872d6f0c7de318d,월세 2000/180,월세 2000/180,0,1,42.1,10000000,1200000,서초동,0, ,https://www.dabangapp.com/room/65d40556bbcdc31c7d6a124f,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
16,65dd9efad872d6f0c7de318f,월세 3000/230,월세 3000/230,0,1,42.1,30000000,2300000,서초동,0,천장형 신발장 냉장고 세탁기 샤워부스 비데 싱크대 인덕션 전자레인지 붙박이장 화재경보기 비디오폰 카드키 CCTV,https://www.dabangapp.com/room/65a5ef57cf245e5e552563fd,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
17,65dd9efdd872d6f0c7de3190,월세 3000/230,월세 3000/230,0,1,42.1,30000000,2300000,서초동,0,천장형 식탁 신발장 냉장고 세탁기 샤워부스 비데 싱크대 인덕션 가스오븐 붙박이장 화재경보기 경비원 비디오폰 인터폰 카드키 CCTV 현관보안,https://www.dabangapp.com/room/65d830afdd88d84649636e38,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
18,65dd9f01d872d6f0c7de3191,월세 200/115,월세 200/115,0,1,19.84,2000000,1150000,서초동,0,천장형 침대 신발장 냉장고 세탁기 샤워부스 싱크대 인덕션 전자레인지 TV 붙박이장 무인택배함 경비원 비디오폰 CCTV 현관보안,https://www.dabangapp.com/room/65d4715c16c1fa725278556d,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
19,65dd9f05d872d6f0c7de3192,월세 1000/300,월세 1000/300,0,1,47.04,10000000,3000000,서초동,0,천장형 침대 책상 옷장 식탁 쇼파 신발장 냉장고 세탁기 샤워부스 비데 싱크대 인덕션 전자레인지 가스오븐 TV 붙박이장 화재경보기 테라스 비디오폰 카드키 CCTV,https://www.dabangapp.com/room/65c18f4b5cae3f13420a2068,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
20,65dd9f09d872d6f0c7de3193,월세 1000/300,월세 1000/300,0,1,47.04,10000000,3000000,서초동,0,벽걸이형 천장형 침대 책상 옷장 식탁 쇼파 신발장 냉장고 세탁기 샤워부스 싱크대 인덕션 TV 붙박이장 화재경보기 비디오폰 인터폰 CCTV 사설경비 현관보안,https://www.dabangapp.com/room/65dc1480a82e9f3df27a8dc6,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
21,65dd9f0cd872d6f0c7de3194,월세 1000/300,월세 1000/300,0,1,47.04,10000000,3000000,서초동,0,천장형 옷장 식탁 신발장 냉장고 세탁기 샤워부스 욕조 비데 싱크대 인덕션 전자레인지 붙박이장 화재경보기 무인택배함 경비원 비디오폰 인터폰 카드키 CCTV 사설경비 현관보안 방범창,https://www.dabangapp.com/room/65d4037ccf992d1c7d26aca1,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
22,65dd9f10d872d6f0c7de3195,월세 2000/45,월세 2000/45,0,0,23.14,20000000,450000,서초동,0,벽걸이형 신발장 냉장고 세탁기 싱크대 인덕션 전자레인지 현관보안,https://www.dabangapp.com/room/65dbfbe8bb9e3f69dfba89a5,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
24,65dd9f21d872d6f0c7de3197,월세 5000/350,월세 5000/350,0,1,52.74,50000000,3500000,서초동,0,천장형 식탁 신발장 냉장고 세탁기 건조기 샤워부스 싱크대 인덕션 화재경보기 베란다 비디오폰 인터폰 카드키 CCTV 현관보안 방범창,https://www.dabangapp.com/room/65c2fa52fb4f711ccef663e7,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
25,65dd9f25d872d6f0c7de3198,월세 150/100,월세 150/100,0,1,17.95,1500000,1000000,서초동,0,천장형 침대 책상 옷장 신발장 냉장고 세탁기 샤워부스 비데 싱크대 인덕션 전자레인지 TV 붙박이장 화재경보기 경비원 비디오폰 인터폰 CCTV 현관보안 방범창,https://www.dabangapp.com/room/65d97be43e552a4ac6941410,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
28,65dd9f30d872d6f0c7de319b,월세 1000/95,월세 1000/95,0,0,29.79,10000000,950000,서초동,0,벽걸이형 옷장 쇼파 냉장고 세탁기 가스레인지 현관보안,https://www.dabangapp.com/room/65cadb59d762a12e838c87c3,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
31,65dd9f3bd872d6f0c7de319e,월세 1500/280,월세 1500/280,0,1,50.01,15000000,2800000,서초동,0,천장형 침대 옷장 식탁 쇼파 신발장 냉장고 세탁기 샤워부스 비데 싱크대 인덕션 전자레인지 가스오븐 TV 붙박이장 비디오폰 카드키 CCTV,https://www.dabangapp.com/room/65c18b6a8e3208296c793476,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
